Drug,FoodInteractions
Dabigatran,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
Daptomycin,No interactions found.
Efavirenz,"Avoid excessive or chronic alcohol consumption. Alcohol may contribute to additive adverse effects when taken with efavirenz.
Take on an empty stomach. Taking efavirenz with food increases efavirenz concentrations and may increase the frequency of adverse reactions. In patients who cannot swallow capsules, the capsule contents can be administered with a small amount of food or infant formula using the capsule sprinkle method of administration."
Quizartinib,Not Available
Rifampicin,"Avoid alcohol.
Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
Take with a full glass of water."
Abeprazan,Not Available
Acetaminophen,"Avoid alcohol. Alcohol may increase the risk of hepatotoxicity.
Take with or without food. The absorption is unaffected by food."
Acetylsalicylic acidCommonly known or available as Aspirin,"Avoid alcohol. Alcohol increases the risk of gastrointestinal bleeding.
Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.
Take after a meal. This reduces irritating gastrointestinal effects.
Take with a full glass of water."
Amlodipine,"Avoid grapefruit products.
Avoid natural licorice.
Take with or without food. The absorption is unaffected by food."
Amoxicillin,Take with food.
Ampreloxetine,Not Available
Bavisant,Not Available
Bavisant,Not Available
Belumosudil,"Take at the same time every day. Belumosudil should be taken with a meal at approximately the same time each day.
Take with food. The co-administration of food increases the absorption of belumosudil."
Bupropion,"Avoid alcohol. Co-administration with alcohol may result in neuropsychiatric adverse effects and potentiation of CNS depressant effects.
Take with or without food. Co-administration with food does not significantly affect pharmacokinetics."
Caffeine,No interactions found.
Caffeine,No interactions found.
Chlorzoxazone,"Avoid alcohol.
Take with or without food. The absorption is unaffected by food."
Clarithromycin,Take with food. Food increases absorption.
Clomifene,Take with or without food. The absorption is unaffected by food.
Clopidogrel,Take with or without food.
Cyclosporine,"Avoid grapefruit products.
Avoid potassium-containing products. Taking products that increase serum potassium may increase the risk of hyperkalemia.
Avoid St. John's Wort.
Take at the same time every day. Take consistently with regard to food."
Dabigatran etexilate,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.
Avoid St. John's Wort. This herb induces PGP which may reduce the serum levels of dabigatran.
Take with a full glass of water.
Take with or without food."
Daclatasvir,"Avoid grapefruit products. Grapefruit inhibits the CYP3A metabolism of daclatasvir, which may increase its serum concentration. Dose changes may be necessary.
Avoid St. John's Wort. This herb induces the CYP3A metabolism of daclatasvir and may reduce its serum concentration. Co-administration of daclatasvir with St. John's Wort is contraindicated.
Take with or without food. Daclatasvir AUC and Cmax are slightly reduced when administered with food."
Darolutamide,"Avoid St. John's Wort. This herb induces CYP3A and P glycoprotein and may reduce the serum concentration of darolutamide.
Take with food. This increases the bioavailability of darolutamide."
Decernotinib,Not Available
Dextromethorphan,Take with or without food. The absorption is unaffected by food.
Dicloxacillin,Take on an empty stomach. Food decreases bioavailability.
Digoxin,"Avoid multivalent ions. Calcium and aluminum containing products (including kaolin-pectin) may interfere with absorption) and digoxin administration must be separated by several hours.
Avoid potassium-containing products. They may cause arrhythmias when given with digoxin.
Avoid St. John's Wort. This drug can decrease digoxin levels.
Do not take with bran and high fiber foods. Separate administration of bran and high fiber foods from medication by at least 2 hours."
Dorzagliatin,Not Available
Dronabinol,"Avoid alcohol.
Take with or without food. The absorption is unaffected by food."
Duloxetine,"Avoid excessive or chronic alcohol consumption. Alcohol increases the risk of liver toxicity.
Take with or without food. Do not sprinkle the contents of the capsules on food/liquids."
Ecopipam,Not Available
Ecopipam,Not Available
Edaravone,No interactions found.
Efavirenz,"Avoid excessive or chronic alcohol consumption. Alcohol may contribute to additive adverse effects when taken with efavirenz.
Take on an empty stomach. Taking efavirenz with food increases efavirenz concentrations and may increase the frequency of adverse reactions. In patients who cannot swallow capsules, the capsule contents can be administered with a small amount of food or infant formula using the capsule sprinkle method of administration."
Efavirenz,"Avoid excessive or chronic alcohol consumption. Alcohol may contribute to additive adverse effects when taken with efavirenz.
Take on an empty stomach. Taking efavirenz with food increases efavirenz concentrations and may increase the frequency of adverse reactions. In patients who cannot swallow capsules, the capsule contents can be administered with a small amount of food or infant formula using the capsule sprinkle method of administration."
Elafibranor,Not Available
Enclomiphene,Not Available
Entinostat,Not Available
Enzalutamide,"Avoid St. John's Wort. This herb induces the CYP3A4 metabolism of enzalutamide and may reduce its serum concentration.
Take with or without food."
Enzalutamide,"Avoid St. John's Wort. This herb induces the CYP3A4 metabolism of enzalutamide and may reduce its serum concentration.
Take with or without food."
Ethanol,No interactions found.
Ethinylestradiol,Avoid St. John's Wort. St. John's Wort may decrease the effectiveness of ethinylestradiol.
Ezetimibe,Take with or without food. Co-administration with food does not affect absorption.
Famotidine,"Avoid excessive or chronic alcohol consumption. Alcohol increases the risk of gastric irritation.
Limit caffeine intake. Caffeine and other acidic beverages increases the risk of gastric irritation.
Take with or without food. Food slightly increases bioavailability, but not to a clinically significant extent."
Fexofenadine,"Avoid fruit juice. Fruit juices like grapefruit, orange, and apple may reduce bioavailability and overall exposure to the medication.
Take with or without food. Co-administration with food does not significantly affect absorption."
Fidaxomicin,Take with or without food. High-fat meal decreases the Cmax of fidaxomicin and its metabolite in a clinically insignificant way.
Fimasartan,Not Available
Flucloxacillin,Take on an empty stomach.
Fluconazole,Take with or without food. The absorption is unaffected by food.
Flurbiprofen,"Avoid alcohol.
Take with food. Food reduces irritation."
Fluvoxamine,"Avoid alcohol.
Avoid grapefruit products.
Limit caffeine intake.
Take with or without food. The absorption is unaffected by food."
Folic acid,No interactions found.
