DrugA,DrugB,Interaction
Abciximab,Dabigatran,The risk or severity of bleeding can be increased when Abciximab is combined with Dabigatran.
Aceclofenac,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Aceclofenac is combined with Dabigatran.
Acemetacin,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Dabigatran is combined with Acemetacin.
Acenocoumarol,Dabigatran,The risk or severity of bleeding can be increased when Acenocoumarol is combined with Dabigatran.
Acetylsalicylic acid,Dabigatran,Acetylsalicylic acid may increase the anticoagulant activities of Dabigatran.
Albutrepenonacog alfa,Dabigatran,The therapeutic efficacy of Albutrepenonacog alfa can be decreased when used in combination with Dabigatran.
Alclofenac,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Alclofenac is combined with Dabigatran.
Aldesleukin,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Aldesleukin.
Alemtuzumab,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Alemtuzumab.
Alteplase,Dabigatran,The risk or severity of bleeding can be increased when Alteplase is combined with Dabigatran.
Altretamine,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Altretamine.
Aminophenazone,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Aminophenazone is combined with Dabigatran.
Aminosalicylic acid,Dabigatran,The risk or severity of bleeding can be increased when Aminosalicylic acid is combined with Dabigatran.
Amsacrine,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Amsacrine.
Anagrelide,Dabigatran,The risk or severity of bleeding can be increased when Anagrelide is combined with Dabigatran.
Ancrod,Dabigatran,The risk or severity of bleeding can be increased when Ancrod is combined with Dabigatran.
Andexanet alfa,Dabigatran,The therapeutic efficacy of Andexanet alfa can be decreased when used in combination with Dabigatran.
Anistreplase,Dabigatran,The risk or severity of bleeding can be increased when Anistreplase is combined with Dabigatran.
Anti-inhibitor coagulant complex,Dabigatran,The therapeutic efficacy of Anti-inhibitor coagulant complex can be decreased when used in combination with Dabigatran.
"Antihemophilic factor (recombinant), PEGylated",Dabigatran,"The therapeutic efficacy of Antihemophilic factor (recombinant), PEGylated can be decreased when used in combination with Dabigatran."
Antihemophilic factor human,Dabigatran,The therapeutic efficacy of Antihemophilic factor human can be decreased when used in combination with Dabigatran.
"Antihemophilic factor, human recombinant",Dabigatran,"The therapeutic efficacy of Antihemophilic factor, human recombinant can be decreased when used in combination with Dabigatran."
Antipyrine,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Antipyrine is combined with Dabigatran.
Antithrombin Alfa,Dabigatran,The risk or severity of bleeding can be increased when Antithrombin Alfa is combined with Dabigatran.
Antithrombin III human,Dabigatran,The risk or severity of bleeding can be increased when Antithrombin III human is combined with Dabigatran.
Antrafenine,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Antrafenine is combined with Dabigatran.
Apixaban,Dabigatran,Apixaban may increase the anticoagulant activities of Dabigatran.
Ardeparin,Dabigatran,The risk or severity of bleeding can be increased when Ardeparin is combined with Dabigatran.
Argatroban,Dabigatran,The risk or severity of bleeding can be increased when Argatroban is combined with Dabigatran.
Arsenic trioxide,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Arsenic trioxide.
Azacitidine,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Azacitidine.
Azficel-T,Dabigatran,The risk or severity of adverse effects can be increased when Dabigatran is combined with Azficel-T.
Azithromycin,Dabigatran,The risk or severity of adverse effects can be increased when Azithromycin is combined with Dabigatran.
Balsalazide,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Balsalazide is combined with Dabigatran.
Belinostat,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Belinostat.
Bemiparin,Dabigatran,The risk or severity of bleeding can be increased when Bemiparin is combined with Dabigatran.
Bendamustine,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Bendamustine.
Bendroflumethiazide,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Bendroflumethiazide.
Benorilate,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Benorilate is combined with Dabigatran.
Benoxaprofen,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Benoxaprofen is combined with Dabigatran.
Benzthiazide,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Benzthiazide.
Benzydamine,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Benzydamine is combined with Dabigatran.
Beroctocog alfa,Dabigatran,The therapeutic efficacy of Beroctocog alfa can be decreased when used in combination with Dabigatran.
Betrixaban,Dabigatran,The risk or severity of bleeding can be increased when Betrixaban is combined with Dabigatran.
Bexarotene,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Bexarotene.
Bismuth subsalicylate,Dabigatran,The risk or severity of bleeding can be increased when Bismuth subsalicylate is combined with Dabigatran.
Bivalirudin,Dabigatran,The risk or severity of bleeding can be increased when Bivalirudin is combined with Dabigatran.
Blinatumomab,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Blinatumomab.
Bortezomib,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Bortezomib.
Bosutinib,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Bosutinib.
Bumadizone,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Bumadizone is combined with Dabigatran.
Busulfan,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Busulfan.
Cabazitaxel,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Cabazitaxel.
Calcium acetate,Dabigatran,The therapeutic efficacy of Calcium acetate can be decreased when used in combination with Dabigatran.
Calcium carbonate,Dabigatran,The therapeutic efficacy of Calcium carbonate can be decreased when used in combination with Dabigatran.
Calcium chloride,Dabigatran,The therapeutic efficacy of Calcium chloride can be decreased when used in combination with Dabigatran.
Calcium citrate,Dabigatran,The therapeutic efficacy of Calcium citrate can be decreased when used in combination with Dabigatran.
Calcium gluconate,Dabigatran,The therapeutic efficacy of Calcium gluconate can be decreased when used in combination with Dabigatran.
Calcium Phosphate,Dabigatran,The therapeutic efficacy of Calcium Phosphate can be decreased when used in combination with Dabigatran.
Calcium threonate,Dabigatran,The therapeutic efficacy of Calcium threonate can be decreased when used in combination with Dabigatran.
Cangrelor,Dabigatran,The risk or severity of bleeding can be increased when Cangrelor is combined with Dabigatran.
Capecitabine,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Capecitabine.
Caplacizumab,Dabigatran,The risk or severity of bleeding can be increased when Caplacizumab is combined with Dabigatran.
Carbamazepine,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Carbamazepine.
Carbimazole,Dabigatran,Carbimazole may increase the anticoagulant activities of Dabigatran.
Carboplatin,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Carboplatin.
Carfilzomib,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Carfilzomib.
Carmustine,Dabigatran,The risk or severity of bleeding can be increased when Dabigatran is combined with Carmustine.
Carprofen,Dabigatran,The risk or severity of bleeding and hemorrhage can be increased when Carprofen is combined with Dabigatran.
Catridecacog,Dabigatran,The therapeutic efficacy of Catridecacog can be decreased when used in combination with Dabigatran.
Cefaclor,Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Cefaclor.
